Item,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G),Dairy,Egg,Soy,Wheat,Tree Nuts,Fish,Price,Description,Ingredients
12 count grilled nuggets,142g,200,4.5,1,0,130,660,2,0,1,38,0,0,0,0,0,0,8.39,"Bite-sized pieces of freshly marinated boneless breast of chicken, grilled for a tender and juicy backyard-smoky taste. Available with guest's choice of dipping sauce.","Boneless skinless, chicken breast containing up to 16% solution of water, seasoning (yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids), chicken flavor (chicken breast meat, chicken stock, salt, maltodextrin), modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor (including smoke) and calcium disodium EDTA (to protect quality), high oleic canola oil, dimethylpolysiloxane added to reduce foaming"
grilled chicken club,228g,430,15,3.5,0,85,970,44,3,11,32,0,1,0,1,0,0,8.19,"A lemon-herb marinated boneless breast of chicken, grilled for a tender and juicy backyard-smokey taste, served on a toasted multigrain brioche bun with applewood smoked bacon, green leaf lettuce and tomato. Pairs well with Honey Roasted BBQ Sauce.","Chicken (boneless skinless chicken breast containing up to 16% solution of water, seasoning [yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids], chicken flavor [chicken breast meat, chicken stock, salt, maltodextrin], modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor [including smoke] and calcium disodium EDTA [to protect quality], canola oil, high oleic canola oil, dimethylpolysiloxane added to reduce foaming), brioche bun (water, enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], grain blend [whole wheat flour, whole grain yellow corn flour, organic whole grain oat flour, whole grain barley flour, whole grain triticale flour, whole grain rye flour, salt], sugar, yeast, soybean oil, honey, wheat gluten, cultured wheat flour blend [wheat flour, cultured wheat flour], salt, monoglyceride, guar gum, rolled baby oats, degerminated yellow corn flour, dextrose, wheat starch, vinegar, wheat bran topping, wheat flour, maltodextrin, acetic acid, pea protein, cornstarch, enzymes, ascorbic acid [dough conditioner], canola oil, natural flavor, paprika, calcium carbonate, calcium sulfate, medium chain triglycerides, organic rice concentrate, turmeric, sunflower oil, potato protein, faba bean protein, gum arabic, citric acid), tomato, green leaf lettuce, bacon (pork, water, salt, sugar, sodium phosphate, natural flavor, sodium diacetate, sodium erythorbate, sodium nitrite, smoke), honey roasted BBQ sauce (soybean oil, sugar, water, distilled vinegar, honey, mustard [water, distilled vinegar, mustard seed, salt, turmeric, spices. may contain paprika and garlic powder], tomato paste, egg yolks, salt, onion puree, natural smoke flavor, annatto color"
cool wrap,231g,660,45,9,0,110,1420,32,14,5,43,1,0,1,1,0,0,8.19,"Sliced grilled chicken breast nestled in a fresh mix of green leaf lettuce with a blend of shredded Monterey Jack and Cheddar cheeses, tightly rolled in a flaxseed flour flat bread. Made fresh daily. Pairs well with Avocado Lime Ranch dressing.","Flatbread (water, bread base [wheat gluten, corn starch, oat fiber, soy protein isolate, soybean oil, defatted soy flour, salt, sesame flour, whole wheat flour, calcium propionate {mold inhibitor}, potassium sorbate, mono-diglycerides, sucralose, dextrose, l-cysteine], enriched wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], flax flour, contains less than 2% of: ascorbic acid, calcium propionate (mold inhibitor), canola oil, fumaric acid, l-cysteine, yeast, chicken (boneless skinless chicken breast containing up to 16% solution of water, seasoning [yeast extract, onion powder, sea salt, garlic powder, sugar, salt, corn maltodextrin, gum arabic, natural flavor, lemon juice concentrate, vinegar solids], chicken flavor [chicken breast meat, chicken stock, salt, maltodextrin], modified corn starch, apple cider vinegar, water, soybean oil, sugar, cane molasses, salt, spices, chicken fat, dehydrated onion, yeast extract, corn maltodextrin, lemon peel, dehydrated garlic, red bell pepper, paprika, parsley, xanthan gum, natural flavor [including smoke] and calcium disodium EDTA [to protect quality], high oleic canola oil, dimethylpolysiloxane added to reduce foaming), green leaf lettuce, green and red lettuce, green cabbage, cheese (cheddar cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes, annatto {color}], Monterey jack cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes], potato starch, powdered cellulose [to prevent caking], natamycin [natural mold inhibitor]) Soybean oil, cultured buttermilk, water, avocado, distilled vinegar, egg yolk, sugar, salt, garlic*, onion*, spice, fruit juice and turmeric (color), lactic acid, spice, xanthan gum, reconstituted lime juice concentrate (water, lime juice), sodium benzoate and potassium sorbate (preservatives), disodium guanylate"
fruit cup,119g,60,0,0,0,0,0,15,2,11,1,0,0,0,0,0,0,4.09,"A nutritious fruit mix made with chopped pieces of red and green apples, mandarin orange segments, fresh strawberry slices, and blueberries, served chilled. Prepared fresh daily.","Red & green apples (with calcium ascorbate to promote color retention and maintain texture), Mandarin oranges (water, sugar, citric acid), blueberries, strawberries."
chicken soup,233g,170,4,1,0,30,1220,25,1,1,10,1,1,1,1,0,0,3.99,"Shredded Chick-fil-A chicken breast, chopped carrots and celery with egg noodles in a hearty broth. Served with Saltine crackers.","Chicken (boneless, skinless chicken breast meat nuggets [without rib meat], salt, monosodium glutamate, sugar, spice [mustard], and paprika, coater [enriched flour, sugar, salt, monosodium glutamate, skim milk, leavening blend {baking soda, sodium aluminum phosphate, monocalcium phosphate}, spices, soybean oil, paprika], milk wash [skim milk, dried whole egg], peanut oil), grilled chicken (water, chicken broth [chicken, chicken broth, salt, water, corn maltodextrin], modified corn starch, yeast extract, salt, onion powder, garlic powder, sugar, corn maltodextrin, vinegar powder, flavour, lemon juice concentrate, gum arabic, vegetable oil), seasoned chicken stock (water, chicken meat with natural juices, salt, chicken fat, yeast extract, sugar, carrot powder, dried potato, onion powder, natural flavour, spices, herbs), cooked mafalda pasta (water, semolina [wheat], liquid whole egg, liquid egg-white), carrots, celery, modified corn starch, cream, enriched flour, mirepoix vegetable base (vegetable blend [carrot, onion, celery], salt, sugar, corn oil, potato flour, carrot powder), yeast extract, soybean oil, butter, salt, carrot puree, sea salt, soy lecithin, garlic, onion powder, citric acid, spices, herbs, annatto contains: sulfites.. Unbleached enriched flour wheat flour, wheat flour, niacin, reduced iron, thiamine mononitrate [Vitamin B1], riboflavin [Vitamin B2], folic acid), canola oil, palm oil, sea salt, salt, malted barley flour, baking soda, yeast"
side salad,166g,470,42,8,0,35,690,16,4,5,7,1,0,0,1,0,0,4.19,"A fresh bed of mixed greens, topped with a blend of shredded Monterey Jack and Cheddar cheeses and grape tomatoes. Prepared fresh daily. Served with charred tomato, crispy red bell peppers and choice of dressing.","Romaine lettuce, green and red lettuce, green cabbage, grape tomatoes, cheese (cheddar cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes, annatto [color], Monterey jack cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes], potato starch, powdered cellulose [to prevent caking], natamycin [natural mold inhibitor]), crispy red bell pepper (red bell peppers, enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], sunflower, safflower and/or canola oil, seasoning [tomato powder, salt, onion powder, sugar, chili pepper, garlic powder, yeast extract, citric acid, malic acid, natural and artificial flavors {with modified corn starch, succinic acid}, extractive of paprika {color}, natural smoke flavors]) Soybean oil, cultured buttermilk, water, avocado, distilled vinegar, egg yolk, sugar, salt, garlic*, onion*, spice, fruit juice and turmeric (color), lactic acid, spice, xanthan gum, reconstituted lime juice concentrate (water, lime juice), sodium benzoate and potassium sorbate (preservatives), disodium guanylate, disodium inosinate, natural flavor, propylene glycol alginate, citric acid, ascorbic acid, sodium alginate, calcium disodium EDTA added to protect flavor. *dehydrated Tomato Cheddar cheese (cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes, annatto [color]), Monterey Jack cheese (cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes), potato starch, powdered cellulose (to prevent caking), natamycin (natural mold inhibitor)"
mac and cheese,227g,450,29,16,0,70,1190,28,3,3,20,1,0,0,1,0,0,4.09,"A classic macaroni and cheese recipe featuring a special blend of cheeses including Parmesan, Cheddar, and Romano. Baked in-restaurant to form a crispy top layer of baked cheese.","Cooked elbow macaroni (water, durum wheat semolina, egg white, niacin, iron [ferrous sulfate], thiamin mononitrate, riboflavin, folic acid), water, pasteurized cheese spread (American cheese [milk, cheese culture, salt, enzymes], water, whey, sodium phosphate, whey protein concentrate, nonfat dry milk, salt, milkfat, artificial color), margarine (palm oil, soybean oil, hydrogenated soybean oil, water, salt, whey [milk], mono and diglycerides, soy lecithin, sodium benzoate [preservative], natural and artificial butter flavor, beta carotene [color], Vitamin A palmitate), Montamore cheese (pasteurized milk, cheese cultures, salt, enzymes, powdered cellulose to prevent caking), cheddar cheese ([pasteurized milk, cheese culture, salt, enzymes], water, salt, oleoresin paprika [color], apocarotenal [color]), soybean oil, nonfat dry milk, parmesan cheese and asiago cheese ([cultured milk, salt, enzymes], natural flavor, cellulose, salt), natural butter flavor (maltodextrin, modified butter oil, salt, dehydrated butter, shortening powder, guar gum, sodium bicarbonate, annatto and turmeric [for color]), Romano cheese (pasteurized milk, cheese cultures, salt, enzymes, natural flavor, cellulose, salt), modified corn starch, salt, sugar, emulsifying salt (sodium polyphosphate, sodium phosphate), lactic acid (lactic acid, calcium lactate), egg yolk powder (dried egg yolks, phospholipase), emulsifier (mono- and diglycerides prepared from fully hydrogenated palm oil), enriched bleached wheat flour (wheat flour, niacin, malted barley flour, reduced iron, thiamine mononitrate, riboflavin, folic acid), sodium polyphosphate and sodium phosphate, soy lecithin, natural cheese flavor (maltodextrin, whey solids, natural bleu cheese flavor, salt), xanthan gum, cheese (cheddar cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes, annatto {color}], Monterey Jack cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes], potato starch"
medium fries,125g,420,24,4,0,0,240,45,5,1,5,0,0,0,0,0,0,2.49,Waffle-cut potatoes cooked in canola oil until crispy outside and tender inside. Sprinkled with Sea Salt.,"Potatoes, canola oil, high oleic canola oil with dimethylpolysiloxane added as an anti-foaming agent, vegetable oil (canola, palm, soy), salt, disodium dihydrogen pyrophosphate (to maintain natural color), dextrose"
large fries,179g,600,35,5,0,0,340,65,7,1,7,0,0,0,0,0,0,2.95,Waffle-cut potatoes cooked in canola oil until crispy outside and tender inside. Sprinkled with Sea Salt.,"Potatoes, canola oil, high oleic canola oil with dimethylpolysiloxane added as an anti-foaming agent, vegetable oil (canola, palm, soy), salt, disodium dihydrogen pyrophosphate (to maintain natural color), dextrose"
kale crunch side,61g,120,9,1,0,0,140,8,2,3,3,0,0,0,0,1,0,4.09,"A blend of Curly Kale and Green Cabbage tossed with an Apple Cider and Dijon Mustard vinaigrette, all topped off with salted, crunchy Roasted Almonds","Green cabbage, kale, soybean oil, apple juice concentrate, maple syrup, apple cider vinegar, distilled vinegar, water, extra virgin olive oil, salt, mustard seed, white wine, potassium sorbate and sodium benzoate added as preservatives, citric acid, natural flavor, spice, tartaric acid, xanthan gum, calcium disodium EDTA added to protect flavor, almonds, sea salt"
cobb salad,390g,710,51,11,0,220,1770,25,6,9,36,1,1,1,1,0,0,9.49,"Spicy Grilled Filet (cold) on a fresh bed of mixed greens, topped with a blend of shredded Monterey Jack and Cheddar cheeses, crumbled bacon, fire-roasted corn, sliced hard-boiled egg and grape tomatoes. Made fresh daily. Served with Charred Tomato and Crispy Red Bell Peppers. Pairs well with Avocado Lime Ranch dressing.","Romaine lettuce, green cabbage, green and red leaf lettuce, chicken (boneless, skinless chicken breast filets containing up to 15% solution of water, seasoning [corn maltodextrin, spice, rice starch, tapioca maltodextrin, salt, cottonseed oil, spice and color {contains paprika}, garlic powder, natural flavor {milk, soy}] modified food starch, coated with up to 4% salt, monosodium glutamate, sugar, spices, paprika, high oleic canola oil, dimethylpolysiloxane added to reduce foaming), grape tomato, egg, corn, cheese (cheddar cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes, annatto {color}], Monterey Jack cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes], potato starch, powdered cellulose [to prevent caking], natamycin [natural mold inhibitor]), bacon (pork cured with water, salt, sugar, sodium erythorbate, sodium nitrite [may also contain smoke flavoring, dextrose, sodium phosphate, potassium chloride, sodium diacetate, flavoring, honey]), crispy red bell pepper (red bell peppers, enriched flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid]"
market salad,326g,540,31,6,0,75,1370,42,6,27,26,1,0,1,0,1,0,9.69,"Sliced grilled chicken breast served on a fresh bed of mixed greens, topped with crumbled blue cheese and a mix of red and green apples, strawberries and blueberries. Made fresh daily. Served with Harvest Nut Granola and Roasted Almonds. Pairs well with Zesty Apple Cider Vinaigrette.","Romaine lettuce, green cabbage, green and red leaf lettuce, chicken (boneless, skinless chicken breast filets containing up to 15% solution of water, seasoning [corn maltodextrin, spice, rice starch, tapioca maltodextrin, salt, cottonseed oil, spice and color {contains paprika}, garlic powder, natural flavor {milk, soy}], modified food starch, coated with up to 4% salt, monosodium glutamate, sugar, spices, paprika, high oleic canola oil, dimethylpolysiloxane added to reduce foaming), apples (fresh apples, calcium ascorbate [a blend of calcium and Vitamin C to maintain freshness and color]), strawberries, blueberries, blue cheese (milk, cultures, salt, rennet, cellulose [to prevent caking], Penicillium Roqueforti and natamycin, potato starch [to prevent caking], enzymes), granola (toasted oats [whole rolled oats, soybean oil, honey], soybean oil, sugar, honey, glycerated raisins [raisins, sunflower oil, glycerin], golden seedless raisins [raisins, sulfur dioxide {added for freshness}], glycerated cranberries [cranberries, sugar, glycerin, citric acid, safflower oil], pecans, almonds, walnuts, corn syrup, brown sugar, molasses, salt, natural flavors), almonds (almonds, sea salt) Soybean oil, apple cider vinegar, sugar, water, honey, distilled vinegar, pineapple juice concentrate, lemon juice concentrate, salt"
spicy southwest salad,424g,690,49,10,0,100,1570,29,8,8,33,1,0,1,0,0,0,9.69,"Sliced, grilled filet(cold) served on a fresh bed of mixed greens, topped with grape tomatoes, a blend of Monterey Jack and Cheddar cheeses, and a zesty combination of roasted corn, black beans, poblano chiles, and red bell peppers. Prepared fresh daily. Served with Seasoned Tortilla Strips and Chili Lime Pepitas. Pairs well with Creamy Salsa dressing.","Romaine lettuce, green cabbage, green and red leaf lettuce, chicken (boneless, skinless chicken breast filets containing up to 15% solution of water, seasoning [corn maltodextrin, spice, rice starch, tapioca maltodextrin, salt, cottonseed oil, spice and color {contains paprika}, garlic powder, natural flavor {milk, soy}], modified food starch, coated with up to 4% salt, monosodium glutamate, sugar, spices, paprika, canola oil, high oleic canola oil, dimethylpolysiloxane added to reduce foaming), grape tomato, corn and black bean mix (roasted corn, black bean, red bell pepper, poblano pepper), cheese (cheddar cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes, annatto {color}], Monterey Jack cheese [cultured pasteurized milk, pasteurized milk, cheese culture, salt, enzymes], potato starch, powdered cellulose [to prevent caking], natamycin [natural mold inhibitor])"
medium unsweet tea,403g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,Freshly-brewed each day from a blend of tea leaves unsweetened.,"Water, tea"
medium sweet tea,320g,120,0,0,0,0,10,31,0,31,0,0,0,0,0,0,0,2.29,Freshly-brewed each day from a blend of tea leaves sweetened with real cane sugar.,"Water, sugar, tea"
large sweet tea,447g,170,0,0,0,0,10,43,0,43,0,0,0,0,0,0,0,2.75,Freshly-brewed each day from a blend of tea leaves sweetened with real cane sugar.,"Water, sugar, tea"
large unsweet tea,839g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,Freshly-brewed each day from a blend of tea leaves unsweetened.,"Water, tea"
